reporting_period,reporting_date,customer_id,total_revenue
Day,2022-05-10,285,14.98
Day,2022-05-10,120,16.98
Day,2022-05-10,575,13.97
Day,2022-02-26,186,10.98
Day,2022-02-26,454,4.98
Day,2022-02-26,140,10.99
Day,2022-06-23,125,1.98
Day,2022-06-23,237,2.98
Day,2022-05-18,129,15.98
Day,2022-01-30,333,13.98
Day,2022-07-02,15,0
Day,2022-07-02,572,10.99
Day,2022-05-29,369,12.98
Day,2022-05-29,136,10.99
Day,2022-04-16,114,12.98
Day,2022-04-16,295,10.98
Day,2022-04-16,319,12.98
Day,2022-04-16,362,11.99
Day,2022-06-25,479,12.97
Day,2022-06-24,311,13.98
Day,2022-06-24,364,10.98
Day,2022-06-24,507,1.98
Day,2022-06-24,518,10.98
Day,2022-06-24,332,12.98
Day,2022-03-12,274,10.98
Day,2022-03-12,504,16.98
Day,2022-07-16,426,10.99
Day,2022-07-16,11,13.98
Day,2022-07-16,91,1.98
Day,2022-07-16,567,10.99
Day,2022-07-20,66,10.98
Day,2022-07-20,87,13.98
Day,2022-07-20,191,10.98
Day,2022-07-20,200,10.99
Day,2022-07-20,373,4.98
Day,2022-07-20,485,14.97
Day,2022-07-20,347,10.99
Day,2022-02-08,114,13.98
Day,2022-02-08,453,13.98
Day,2022-02-08,501,12.98
Day,2022-02-08,556,12.98
Day,2022-02-08,558,10.99
Day,2022-02-06,240,16.98
Day,2022-02-06,509,12.98
Day,2022-02-06,545,1.98
Day,2022-02-06,561,10.99
Day,2022-03-22,393,12.98
Day,2022-03-22,87,10.99
Day,2022-03-22,418,10.99
Day,2022-02-22,433,10.99
Day,2022-02-22,49,15.98
Day,2022-02-22,187,10.99
Day,2022-06-16,246,12.98
Day,2022-06-16,289,10.99
Day,2022-06-16,563,2.98
Day,2022-02-18,62,15.98
Day,2022-02-18,107,0
Day,2022-02-18,216,0
Day,2022-02-18,373,10.98
Day,2022-02-18,483,14.98
Day,2022-02-18,492,12.98
Day,2022-05-22,137,10.98
Day,2022-05-22,336,10.99
Day,2022-05-22,523,1.98
Day,2022-05-07,337,14.98
Day,2022-05-07,354,0
Day,2022-05-07,494,10.98
Day,2022-06-30,78,10.99
Day,2022-06-30,371,10.99
Day,2022-04-18,251,10.98
Day,2022-04-22,212,14.98
Day,2022-04-22,511,10.99
Day,2022-07-21,542,10.99
Day,2022-07-24,474,2.98
Day,2022-07-24,380,4.98
Day,2022-01-27,295,12.98
Day,2022-05-26,7,13.98
Day,2022-05-26,204,12.97
Day,2022-05-26,221,6.97
Day,2022-05-09,529,10.98
Day,2022-05-03,209,13.98
Day,2022-05-03,304,10.99
Day,2022-05-03,60,0
Day,2022-05-03,148,10.99
Day,2022-02-01,545,10.99
Day,2022-04-24,33,10.99
Day,2022-04-24,406,12.98
Day,2022-04-24,546,14.98
Day,2022-07-13,380,10.99
Day,2022-07-13,424,1.98
Day,2022-04-15,431,4.98
Day,2022-04-15,448,0
Day,2022-04-15,566,14.98
Day,2022-04-15,29,17.98
Day,2022-04-15,477,10.99
Day,2022-01-29,176,12.98
Day,2022-01-29,457,0
Day,2022-02-16,116,4.98
Day,2022-02-16,571,10.99
Day,2022-01-25,146,12.98
Day,2022-01-25,334,12.98
Day,2022-05-31,243,10.98
Day,2022-05-31,371,1.98
Day,2022-06-28,51,4.98
Day,2022-06-28,323,2.98
Day,2022-05-24,144,16.97
Day,2022-05-24,380,8.97
Day,2022-02-25,207,4.97
Day,2022-02-25,259,10.99
Day,2022-02-25,487,12.98
Day,2022-03-27,387,10.98
Day,2022-03-27,391,6.97
Day,2022-03-21,16,12.98
Day,2022-07-01,187,14.98
Day,2022-07-01,276,10.98
Day,2022-07-01,544,17.97
Day,2022-07-01,263,10.98
Day,2022-06-08,230,17.98
Day,2022-06-08,272,10.99
Day,2022-06-08,310,10.99
Day,2022-04-04,45,14.98
Day,2022-04-04,203,4.98
Day,2022-04-04,260,10.99
Day,2022-04-04,335,2.98
Day,2022-04-04,50,10.99
Day,2022-01-26,131,10.98
Day,2022-01-26,163,0
Day,2022-01-26,174,12.97
Day,2022-01-26,178,10.98
Day,2022-01-26,414,10.99
Day,2022-04-01,277,15.98
Day,2022-04-01,298,12.98
Day,2022-04-01,371,4.98
Day,2022-05-27,228,0
Day,2022-03-11,63,1.98
Day,2022-03-11,179,12.98
Day,2022-03-11,566,15.98
Day,2022-02-15,416,10.97
Day,2022-02-15,462,10.98
Day,2022-07-25,133,2.98
Day,2022-07-25,454,12.98
Day,2022-07-25,529,10.99
Day,2022-04-26,145,10.98
Day,2022-04-26,224,10.98
Day,2022-04-27,164,18.97
Day,2022-04-27,253,14.98
Day,2022-04-27,286,4.98
Day,2022-04-27,405,2.98
Day,2022-04-27,592,1.98
Day,2022-04-27,480,14.98
Day,2022-04-29,584,13.98
Day,2022-07-26,221,12.98
Day,2022-07-26,461,10.98
Day,2022-02-20,322,2.98
Day,2022-04-14,207,16.98
Day,2022-04-14,404,4.98
Day,2022-04-14,516,10.99
Day,2022-04-14,569,8.97
Day,2022-03-14,259,10.97
Day,2022-03-14,321,14.98
Day,2022-03-14,536,14.98
Day,2022-03-04,77,14.97
Day,2022-03-04,215,10.98
Day,2022-03-04,383,1.98
Day,2022-03-04,384,1.98
Day,2022-04-11,208,0
Day,2022-02-07,203,10.99
Day,2022-02-07,237,11.99
Day,2022-02-07,381,1.98
Day,2022-06-09,121,2.98
Day,2022-06-09,302,15.98
Day,2022-03-06,21,10.99
Day,2022-03-06,159,1.98
Day,2022-03-06,297,15.98
Day,2022-04-30,359,15.98
Day,2022-06-06,80,14.98
Day,2022-06-06,135,4.98
Day,2022-07-11,441,10.99
Day,2022-02-28,289,10.98
Day,2022-02-28,310,1.98
Day,2022-06-07,469,4.98
Day,2022-06-07,573,10.99
Day,2022-02-19,40,17.97
Day,2022-02-19,178,10.98
Day,2022-02-19,364,10.99
Day,2022-02-19,560,0
Day,2022-02-19,572,2.98
Day,2022-04-25,22,12.98
Day,2022-04-25,163,10.99
Day,2022-01-28,470,10.99
Day,2022-01-28,12,10.99
Day,2022-06-27,522,1.98
Day,2022-05-01,184,10.98
Day,2022-05-01,274,13.96
Day,2022-05-01,345,10.99
Day,2022-03-20,15,13.98
Day,2022-03-20,327,4.98
Day,2022-03-20,406,12.98
Day,2022-03-20,47,12.98
Day,2022-02-05,45,12.97
Day,2022-02-05,181,17.98
Day,2022-02-05,564,12.98
Day,2022-02-24,54,10.99
Day,2022-02-24,307,4.98
Day,2022-02-24,3,10.99
Day,2022-02-02,178,14.98
Day,2022-02-02,206,10.99
Day,2022-02-13,212,10.99
Day,2022-02-13,309,13.98
Day,2022-05-19,228,4.98
Day,2022-03-24,4,10.98
Day,2022-03-24,112,14.98
Day,2022-03-24,148,10.99
Day,2022-03-24,18,4.98
Day,2022-06-03,117,10.98
Day,2022-06-03,178,12.98
Day,2022-06-03,276,15.98
Day,2022-02-09,560,14.98
Day,2022-02-09,585,13.98
Day,2022-05-12,242,14.98
Day,2022-05-12,305,11.99
Day,2022-05-12,337,10.98
Day,2022-05-12,459,10.99
Day,2022-01-24,205,12.98
Day,2022-01-24,590,10.98
Day,2022-01-24,513,10.97
Day,2022-01-31,411,4.98
Day,2022-01-31,459,16.98
Day,2022-01-31,83,1.98
Day,2022-05-17,168,10.99
Day,2022-05-17,181,10.98
Day,2022-05-17,528,1.98
Day,2022-05-17,75,0
Day,2022-06-13,75,0
Day,2022-06-13,86,10.99
Day,2022-06-13,149,10.99
Day,2022-06-13,259,4.98
Day,2022-07-17,155,0
Day,2022-07-17,470,10.99
Day,2022-02-10,410,10.99
Day,2022-02-10,504,2.98
Day,2022-06-02,236,4.98
Day,2022-06-02,245,10.99
Day,2022-06-02,275,4.98
Day,2022-06-26,481,1.98
Day,2022-05-14,149,13.98
Day,2022-05-14,178,10.99
Day,2022-05-14,459,10.99
Day,2022-03-13,289,4.98
Day,2022-03-13,367,10.99
Day,2022-03-13,526,17.97
Day,2022-03-13,538,14.98
Day,2022-04-07,103,2.98
Day,2022-04-07,339,1.98
Day,2022-04-17,301,12.98
Day,2022-04-17,481,10.99
Day,2022-04-13,595,10.99
Day,2022-02-03,45,14.98
Day,2022-02-03,593,13.97
Day,2022-02-03,196,10.99
Day,2022-02-17,558,10.97
Day,2022-03-02,448,10.99
Day,2022-07-06,324,12.98
Day,2022-07-06,466,15.98
Day,2022-07-06,592,11.99
Day,2022-02-27,104,10.99
Day,2022-05-21,58,14.98
Day,2022-05-21,63,10.98
Day,2022-05-21,389,10.98
Day,2022-05-21,521,10.97
Day,2022-05-21,26,10.97
Day,2022-04-08,290,12.98
Day,2022-04-08,300,13.98
Day,2022-04-08,307,10.99
Day,2022-04-08,2,10.99
Day,2022-07-18,48,13.97
Day,2022-07-18,551,14.98
Day,2022-02-14,239,4.98
Day,2022-02-14,468,15.98
Day,2022-06-17,3,17.98
Day,2022-06-17,215,4.98
Day,2022-06-17,237,14.98
Day,2022-06-17,403,10.98
Day,2022-06-17,132,10.98
Day,2022-06-17,420,10.99
Day,2022-03-28,76,10.99
Day,2022-03-28,372,10.99
Day,2022-03-28,532,6.97
Day,2022-05-04,531,10.99
Day,2022-04-28,267,12.98
Day,2022-04-28,36,2.98
Day,2022-04-28,329,15.97
Day,2022-02-11,336,1.98
Day,2022-02-11,504,14.98
Day,2022-02-11,116,11.99
Day,2022-05-06,155,10.98
Day,2022-05-06,385,10.98
Day,2022-07-19,39,12.97
Day,2022-06-22,11,10.98
Day,2022-06-22,204,7.97
Day,2022-06-22,342,13.98
Day,2022-07-12,298,1.98
Day,2022-04-21,100,10.98
Day,2022-04-21,346,10.98
Day,2022-04-21,361,2.98
Day,2022-04-21,407,14.98
Day,2022-04-21,442,2.98
Day,2022-04-21,565,10.99
Day,2022-03-09,57,2.98
Day,2022-03-09,477,10.99
Day,2022-06-14,244,10.98
Day,2022-06-14,211,10.98
Day,2022-07-27,404,10.99
Day,2022-05-13,419,10.98
Day,2022-05-13,269,0
Day,2022-05-13,519,1.98
Day,2022-01-23,426,10.99
Day,2022-07-08,369,4.98
Day,2022-07-08,562,15.98
Day,2022-04-20,196,15.97
Day,2022-04-20,221,10.99
Day,2022-02-12,118,10.98
Day,2022-02-12,482,15.98
Day,2022-02-12,508,12.97
Month,2022-06-01,1,12.95
Month,2022-06-01,2,24.94
Month,2022-06-01,3,23.95
Month,2022-06-01,4,18.95
Month,2022-06-01,5,20.94
Month,2022-06-01,6,24.95
Month,2022-06-01,8,22.94
Month,2022-06-01,9,17.96
Month,2022-06-01,11,21.95
Month,2022-06-01,13,17.97
Month,2022-06-01,14,27.95
Month,2022-06-01,15,18.95
Month,2022-06-01,16,25.94
Month,2022-06-01,17,11.96
Month,2022-06-01,18,10.97
Month,2022-06-01,19,26.94
Month,2022-06-01,20,19.94
Month,2022-06-01,21,13.97
Month,2022-06-01,23,9.97
Month,2022-06-01,24,19.95
Month,2022-06-01,25,31.94
Month,2022-06-01,26,47.91
Month,2022-06-01,27,18.94
Month,2022-06-01,28,14.95
Month,2022-06-01,29,24.93
Month,2022-06-01,30,23.94
Month,2022-06-01,32,11.95
Month,2022-06-01,33,11.97
Month,2022-06-01,34,11.97
Month,2022-06-01,35,15.96
Month,2022-06-01,36,4.97
Month,2022-06-01,38,20.93
Month,2022-06-01,39,17.95
Month,2022-06-01,40,10.98
Month,2022-06-01,44,12.96
Month,2022-06-01,45,7.97
Month,2022-06-01,46,24.95
Month,2022-06-01,47,10.97
Month,2022-06-01,48,6.97
Month,2022-06-01,49,20.94
Month,2022-06-01,50,33.93
Month,2022-06-01,51,17.93
Month,2022-06-01,52,12.94
Month,2022-06-01,53,21.94
Month,2022-06-01,54,21.93
Month,2022-06-01,55,20.95
Month,2022-06-01,56,12.98
Month,2022-06-01,57,14.96
Month,2022-06-01,58,19.96
Month,2022-06-01,60,6.97
Month,2022-06-01,62,4.97
Month,2022-06-01,63,24.96
Month,2022-06-01,64,19.93
Month,2022-06-01,65,22.96
Month,2022-06-01,66,35.92
Month,2022-06-01,67,20.96
Month,2022-06-01,69,1.98
Month,2022-06-01,70,4.97
Month,2022-06-01,71,23.95
Month,2022-06-01,72,23.92
Month,2022-06-01,73,14.98
Month,2022-06-01,74,11.93
Month,2022-06-01,75,15.94
Month,2022-06-01,76,13.96
Month,2022-06-01,77,22.92
Month,2022-06-01,78,30.95
Month,2022-06-01,79,15.97
Month,2022-06-01,80,51.91
Month,2022-06-01,81,26.94
Month,2022-06-01,82,12.95
Month,2022-06-01,83,24.95
Month,2022-06-01,84,23.93
Month,2022-06-01,85,30.94
Month,2022-06-01,86,19.96
Month,2022-06-01,88,13.96
Month,2022-06-01,89,17.95
Month,2022-06-01,90,8.95
Month,2022-06-01,91,9.95
Month,2022-06-01,92,26.94
Month,2022-06-01,93,17.95
Month,2022-06-01,96,18.95
Month,2022-06-01,97,13.97
Month,2022-06-01,98,17.96
Month,2022-06-01,99,26.94
Month,2022-06-01,101,16.96
Month,2022-06-01,102,23.93
Month,2022-06-01,103,27.92
Month,2022-06-01,104,25.93
Month,2022-06-01,105,40.91
Month,2022-06-01,107,33.93
Month,2022-06-01,108,16.96
Month,2022-06-01,109,15.95
Month,2022-06-01,110,14.96
Month,2022-06-01,111,18.94
Month,2022-06-01,112,10.98
Month,2022-06-01,114,28.93
Month,2022-06-01,115,10.95
Month,2022-06-01,116,24.93
Month,2022-06-01,117,10.98
Month,2022-06-01,118,13.95
Month,2022-06-01,119,25.94
Month,2022-06-01,120,18.96
Month,2022-06-01,121,17.95
Month,2022-06-01,122,37.91
Month,2022-06-01,123,18.96
Month,2022-06-01,124,2.98
Month,2022-06-01,125,11.96
Month,2022-06-01,126,25.94
Month,2022-06-01,127,17.95
Month,2022-06-01,128,40.93
Month,2022-06-01,129,11.95
Month,2022-06-01,131,13.98
Month,2022-06-01,132,14.95
Month,2022-06-01,133,24.96
Month,2022-06-01,134,20.94
Month,2022-06-01,135,21.93
Month,2022-06-01,136,19.95
Month,2022-06-01,137,38.92
Month,2022-06-01,138,18.94
Month,2022-06-01,139,26.95
Month,2022-06-01,141,22.93
Month,2022-06-01,142,24.97
Month,2022-06-01,143,21.94
Month,2022-06-01,144,36.91
Month,2022-06-01,146,34.92
Month,2022-06-01,147,25.96
Month,2022-06-01,148,48.9
Month,2022-06-01,149,19.97
Month,2022-06-01,150,19.96
Month,2022-06-01,151,21.93
Month,2022-06-01,153,30.93
Month,2022-06-01,154,14.97
Month,2022-06-01,155,31.93
Month,2022-06-01,156,17.97
Month,2022-06-01,157,17.96
Month,2022-06-01,158,10.98
Month,2022-06-01,159,11.97
Month,2022-06-01,160,22.95
Month,2022-06-01,161,21.94
Month,2022-06-01,162,18.95
Month,2022-06-01,163,32.94
Month,2022-06-01,166,17.96
Month,2022-06-01,168,22.95
Month,2022-06-01,169,10.97
Month,2022-06-01,170,18.95
Month,2022-06-01,171,13.96
Month,2022-06-01,172,21.96
Month,2022-06-01,173,20.95
Month,2022-06-01,175,16.97
Month,2022-06-01,176,39.93
Month,2022-06-01,177,8.95
Month,2022-06-01,178,50.91
Month,2022-06-01,179,12.95
Month,2022-06-01,180,24.94
Month,2022-06-01,181,31.94
Month,2022-06-01,182,17.95
Month,2022-06-01,183,10.97
Month,2022-06-01,184,15.96
Month,2022-06-01,186,12.96
Month,2022-06-01,187,21.95
Month,2022-06-01,188,36.91
Month,2022-06-01,189,16.96
Month,2022-06-01,192,11.96
Month,2022-06-01,193,18.97
Month,2022-06-01,196,29.92
Month,2022-06-01,197,23.93
Month,2022-06-01,198,32.93
Month,2022-06-01,200,56.91
Month,2022-06-01,202,19.95
Month,2022-06-01,203,28.95
Month,2022-06-01,204,55.89
Month,2022-06-01,205,16.97
Month,2022-06-01,206,31.92
Month,2022-06-01,207,23.93
Month,2022-06-01,209,13.96
Month,2022-06-01,210,21.96
Month,2022-06-01,211,21.95
Month,2022-06-01,212,15.96
Month,2022-06-01,213,37.93
Month,2022-06-01,214,12.97
Month,2022-06-01,215,15.95
Month,2022-06-01,216,22.94
Month,2022-06-01,217,10.96
Month,2022-06-01,218,17.96
Month,2022-06-01,219,14.95
Month,2022-06-01,222,32.93
Month,2022-06-01,223,7.97
Month,2022-06-01,225,12.97
Month,2022-06-01,226,30.95
Month,2022-06-01,227,15.97
Month,2022-06-01,229,24.94
Month,2022-06-01,230,42.91
Month,2022-06-01,231,26.93
Month,2022-06-01,232,21.96
Month,2022-06-01,233,22.96
Month,2022-06-01,234,21.94
Month,2022-06-01,235,14.94
Month,2022-06-01,236,30.92
Month,2022-06-01,237,35.92
Month,2022-06-01,238,19.97
Month,2022-06-01,239,17.96
Month,2022-06-01,241,14.97
Month,2022-06-01,242,23.92
Month,2022-06-01,244,24.94
Month,2022-06-01,245,31.95
Month,2022-06-01,246,26.94
Month,2022-06-01,247,18.96
Month,2022-06-01,249,30.95
Month,2022-06-01,250,9.96
Month,2022-06-01,251,27.92
Month,2022-06-01,252,10.96
Month,2022-06-01,254,9.97
Month,2022-06-01,255,16.98
Month,2022-06-01,256,13.94
Month,2022-06-01,257,47.89
Month,2022-06-01,258,16.97
Month,2022-06-01,259,29.94
Month,2022-06-01,260,19.96
Month,2022-06-01,261,7.96
Month,2022-06-01,262,33.92
Month,2022-06-01,263,15.96
Month,2022-06-01,264,16.97
Month,2022-06-01,265,24.95
Month,2022-06-01,267,15.96
Month,2022-06-01,269,37.92
Month,2022-06-01,270,27.93
Month,2022-06-01,272,19.97
Month,2022-06-01,273,35.93
Month,2022-06-01,274,18.95
Month,2022-06-01,275,23.93
Month,2022-06-01,276,24.95
Month,2022-06-01,277,17.96
Month,2022-06-01,278,11.96
Month,2022-06-01,279,33.93
Month,2022-06-01,280,32.94
Month,2022-06-01,282,20.95
Month,2022-06-01,284,23.95
Month,2022-06-01,285,26.95
Month,2022-06-01,286,17.97
Month,2022-06-01,287,29.94
Month,2022-06-01,288,8.97
Month,2022-06-01,289,44.94
Month,2022-06-01,290,24.93
Month,2022-06-01,291,8.97
Month,2022-06-01,292,13.98
Month,2022-06-01,294,18.96
Month,2022-06-01,295,19.95
Month,2022-06-01,296,19.95
Month,2022-06-01,297,10.98
Month,2022-06-01,299,15.97
Month,2022-06-01,300,43.92
Month,2022-06-01,301,22.96
Month,2022-06-01,302,41.93
Month,2022-06-01,303,8.97
Month,2022-06-01,304,24.94
Month,2022-06-01,305,17.97
Month,2022-06-01,306,17.94
Month,2022-06-01,307,17.96
Month,2022-06-01,309,32.93
Month,2022-06-01,310,27.95
Month,2022-06-01,311,43.93
Month,2022-06-01,312,15.95
Month,2022-06-01,314,31.94
Month,2022-06-01,316,19.96
Month,2022-06-01,317,21.95
Month,2022-06-01,321,15.96
Month,2022-06-01,323,20.94
Month,2022-06-01,324,9.97
Month,2022-06-01,325,11.97
Month,2022-06-01,326,11.96
Month,2022-06-01,327,12.97
Month,2022-06-01,328,24.93
Month,2022-06-01,329,25.94
Month,2022-06-01,330,8.97
Month,2022-06-01,331,38.93
Month,2022-06-01,332,29.95
Month,2022-06-01,334,41.9
Month,2022-06-01,335,7.97
Month,2022-06-01,337,20.94
Month,2022-06-01,338,17.95
Month,2022-06-01,339,25.94
Month,2022-06-01,340,10.96
Month,2022-06-01,342,27.95
Month,2022-06-01,344,13.96
Month,2022-06-01,346,22.94
Month,2022-06-01,348,23.94
Month,2022-06-01,349,22.95
Month,2022-06-01,352,11.96
Month,2022-06-01,354,22.93
Month,2022-06-01,356,20.93
Month,2022-06-01,357,12.96
Month,2022-06-01,358,35.92
Month,2022-06-01,360,5.96
Month,2022-06-01,361,22.94
Month,2022-06-01,362,14.97
Month,2022-06-01,364,19.96
Month,2022-06-01,366,19.95
Month,2022-06-01,368,33.92
Month,2022-06-01,369,15.95
Month,2022-06-01,371,46.92
Month,2022-06-01,372,27.95
Month,2022-06-01,373,40.93
Month,2022-06-01,374,23.93
Month,2022-06-01,375,15.97
Month,2022-06-01,376,13.94
Month,2022-06-01,377,22.96
Month,2022-06-01,378,4.98
Month,2022-06-01,379,20.96
Month,2022-06-01,380,16.94
Month,2022-06-01,381,13.95
Month,2022-06-01,383,10.96
Month,2022-06-01,385,19.95
Month,2022-06-01,386,13.96
Month,2022-06-01,387,19.95
Month,2022-06-01,388,17.95
Month,2022-06-01,389,21.94
Month,2022-06-01,390,24.94
Month,2022-06-01,391,8.95
Month,2022-06-01,395,13.96
Month,2022-06-01,397,11.95
Month,2022-06-01,399,14.96
Month,2022-06-01,401,17.96
Month,2022-06-01,403,29.95
Month,2022-06-01,404,9.97
Month,2022-06-01,405,15.97
Month,2022-06-01,406,16.96
Month,2022-06-01,407,14.94
Month,2022-06-01,408,31.94
Month,2022-06-01,409,12.98
Month,2022-06-01,410,23.95
Month,2022-06-01,411,24.93
Month,2022-06-01,412,20.95
Month,2022-06-01,414,13.95
Month,2022-06-01,416,18.95
Month,2022-06-01,417,36.93
Month,2022-06-01,418,20.92
Month,2022-06-01,421,37.95
Month,2022-06-01,422,25.93
Month,2022-06-01,423,19.95
Month,2022-06-01,425,21.95
Month,2022-06-01,426,14.97
Month,2022-06-01,432,26.94
Month,2022-06-01,433,10.97
Month,2022-06-01,434,15.96
Month,2022-06-01,435,8.95
Month,2022-06-01,436,34.95
Month,2022-06-01,437,20.96
Month,2022-06-01,438,37.91
Month,2022-06-01,439,21.95
Month,2022-06-01,440,12.97
Month,2022-06-01,441,23.93
Month,2022-06-01,442,16.94
Month,2022-06-01,443,17.96
Month,2022-06-01,444,19.95
Month,2022-06-01,445,16.95
Month,2022-06-01,446,13.96
Month,2022-06-01,447,5.97
Month,2022-06-01,449,13.98
Month,2022-06-01,450,14.96
Month,2022-06-01,451,29.93
Month,2022-06-01,454,15.94
Month,2022-06-01,455,13.96
Month,2022-06-01,456,11.96
Month,2022-06-01,458,6.97
Month,2022-06-01,459,4.98
Month,2022-06-01,460,19.95
Month,2022-06-01,462,22.96
Month,2022-06-01,463,5.97
Month,2022-06-01,464,16.96
Month,2022-06-01,465,7.97
Month,2022-06-01,466,24.95
Month,2022-06-01,467,19.97
Month,2022-06-01,468,17.96
Month,2022-06-01,469,33.94
Month,2022-06-01,470,21.96
Month,2022-06-01,471,10.97
Month,2022-06-01,472,26.94
Month,2022-06-01,473,4.97
Month,2022-06-01,474,6.97
Month,2022-06-01,475,22.94
Month,2022-06-01,476,15.95
Month,2022-06-01,479,33.92
Month,2022-06-01,480,27.95
Month,2022-06-01,481,14.94
Month,2022-06-01,485,29.91
Month,2022-06-01,486,16.97
Month,2022-06-01,487,10.96
Month,2022-06-01,489,26.94
Month,2022-06-01,490,12.98
Month,2022-06-01,491,19.95
Month,2022-06-01,494,19.94
Month,2022-06-01,495,17.95
Month,2022-06-01,497,6.97
Month,2022-06-01,498,26.95
Month,2022-06-01,499,31.93
Month,2022-06-01,500,28.92
Month,2022-06-01,502,25.94
Month,2022-06-01,503,33.92
Month,2022-06-01,504,26.94
Month,2022-06-01,506,9.96
Month,2022-06-01,507,12.95
Month,2022-06-01,509,30.94
Month,2022-06-01,510,23.94
Month,2022-06-01,512,16.96
Month,2022-06-01,513,18.96
Month,2022-06-01,514,17.96
Month,2022-06-01,516,16.95
Month,2022-06-01,517,7.97
Month,2022-06-01,518,41.91
Month,2022-06-01,520,15.95
Month,2022-06-01,521,28.93
Month,2022-06-01,522,17.93
Month,2022-06-01,525,4.98
Month,2022-06-01,526,16.96
Month,2022-06-01,527,11.95
Month,2022-06-01,528,18.96
Month,2022-06-01,529,11.96
Month,2022-06-01,530,21.94
Month,2022-06-01,531,7.96
Month,2022-06-01,532,19.96
Month,2022-06-01,533,32.91
Month,2022-06-01,535,10.97
Month,2022-06-01,536,13.96
Month,2022-06-01,537,24.95
Month,2022-06-01,538,14.96
Month,2022-06-01,540,32.94
Month,2022-06-01,545,18.95
Month,2022-06-01,546,22.95
Month,2022-06-01,547,28.91
Month,2022-06-01,548,21.95
